[-6.5926500514302095E-6, 2.003312715479464]
[9.811535651287355E-8, 9.811535651287355E-8]
[7.709981570246013E-6, 1.2562004971692269]
[1.8841700820483617E-5, 1.4780153547103045]
[-1.4150622111637355E-5, 1.5955237488311176]
[-1.371357732481105E-5, 0.1382105883304362]
[1.831562331515683E-5, 1.7905446539373862]
[-2.258366293539803E-6, 0.2927394941169078]
[-2.7612129045369875E-5, 0.5796502231358854]
[2.3711073288892022E-5, 0.33622445298297154]
[-1.3930378987877067E-5, 1.0181452000333278]
[9.811535651287355E-8, 1.1237324207526154]
[2.2345311132390824E-5, 2.2345311132390824E-5]
[-5.697631209960514E-6, 0.7051897773748548]
[2.3828732839181987E-5, 0.8655097091762285]
[-6.0912464771693695E-6, 0.46185359987867647]
[1.0996790219087202E-5, 0.6379096572910029]
[-4.007571364885201E-5, 0.7697679945070479]
[-2.6334089564895257E-6, 1.8399521864878672]
[-6.0912464771693695E-6, 0.46185359987867647]
